Review_ID,Product_Category,Customer_Age,Review_Text,Sentiment
R0001,Books,60+,Loved it! Will buy again.,Positive
R0002,Toys,60+,Five stars!,Positive
R0003,Toys,26-40,Superb quality and great value.,Positive
R0004,Home Appliances,18-25,Horrible experience with this item.,Negative
R0005,Books,18-25,"Average quality, acceptable for the price.",Neutral
R0006,Books,41-60,"Does the job, but not great.",Neutral
R0007,Electronics,26-40,Not worth the money.,Negative
R0008,Toys,18-25,"Terrible product, do not buy!",Negative
R0009,Electronics,18-25,Loved it! Will buy again.,Positive
R0010,Apparel,18-25,Superb quality and great value.,Positive
R0011,Electronics,41-60,"Does the job, but not great.",Neutral
R0012,Apparel,18-25,"It's okay, nothing special.",Neutral
R0013,Home Appliances,18-25,"Average quality, acceptable for the price.",Neutral
R0014,Toys,26-40,"Does the job, but not great.",Neutral
R0015,Books,60+,"Average quality, acceptable for the price.",Neutral
R0016,Books,60+,"Does the job, but not great.",Neutral
R0017,Home Appliances,18-25,"Does the job, but not great.",Neutral
R0018,Electronics,18-25,Five stars!,Positive
R0019,Apparel,18-25,"Terrible product, do not buy!",Negative
R0020,Apparel,60+,Highly recommend this.,Positive
R0021,Home Appliances,26-40,"Does the job, but not great.",Neutral
R0022,Electronics,18-25,Horrible experience with this item.,Negative
R0023,Apparel,41-60,Superb quality and great value.,Positive
R0024,Home Appliances,60+,"Terrible product, do not buy!",Negative
R0025,Apparel,60+,"It's okay, nothing special.",Neutral
R0026,Apparel,26-40,Perfect in every way!,Positive
R0027,Electronics,26-40,Very disappointing.,Negative
R0028,Apparel,26-40,Horrible experience with this item.,Negative
R0029,Apparel,26-40,Not worth the money.,Negative
R0030,Books,41-60,Amazing product!,Positive
R0031,Toys,26-40,Superb quality and great value.,Positive
R0032,Toys,18-25,Highly recommend this.,Positive
R0033,Apparel,26-40,Meets expectations but no more.,Neutral
R0034,Books,18-25,Not worth the money.,Negative
R0035,Books,18-25,Horrible experience with this item.,Negative
R0036,Toys,18-25,Five stars!,Positive
R0037,Apparel,41-60,"Terrible product, do not buy!",Negative
R0038,Electronics,18-25,"It's okay, nothing special.",Neutral
R0039,Apparel,60+,Five stars!,Positive
R0040,Books,41-60,"Terrible product, do not buy!",Negative
R0041,Electronics,26-40,Will never buy this again.,Negative
R0042,Toys,60+,Neutral feelings about this.,Neutral
R0043,Electronics,26-40,Not worth the money.,Negative
R0044,Electronics,26-40,Superb quality and great value.,Positive
R0045,Electronics,60+,"Does the job, but not great.",Neutral
R0046,Apparel,26-40,Amazing product!,Positive
R0047,Home Appliances,41-60,Will never buy this again.,Negative
R0048,Home Appliances,60+,Superb quality and great value.,Positive
R0049,Apparel,60+,"Average quality, acceptable for the price.",Neutral
R0050,Apparel,60+,"Terrible product, do not buy!",Negative
R0051,Apparel,60+,Perfect in every way!,Positive
R0052,Books,18-25,"Does the job, but not great.",Neutral
R0053,Apparel,60+,Poor quality and bad design.,Negative
R0054,Books,41-60,Superb quality and great value.,Positive
R0055,Home Appliances,60+,Superb quality and great value.,Positive
R0056,Electronics,26-40,Poor quality and bad design.,Negative
R0057,Books,41-60,"Does the job, but not great.",Neutral
R0058,Electronics,60+,"It's okay, nothing special.",Neutral
R0059,Home Appliances,41-60,Loved it! Will buy again.,Positive
R0060,Home Appliances,60+,Meets expectations but no more.,Neutral
R0061,Electronics,60+,Will never buy this again.,Negative
R0062,Apparel,26-40,"It's okay, nothing special.",Neutral
R0063,Books,18-25,Neutral feelings about this.,Neutral
R0064,Home Appliances,26-40,Horrible experience with this item.,Negative
R0065,Books,41-60,Neutral feelings about this.,Neutral
R0066,Electronics,18-25,Not worth the money.,Negative
R0067,Toys,41-60,Loved it! Will buy again.,Positive
R0068,Electronics,26-40,Perfect in every way!,Positive
R0069,Apparel,18-25,Neutral feelings about this.,Neutral
R0070,Apparel,60+,Will never buy this again.,Negative
R0071,Toys,18-25,Not worth the money.,Negative
R0072,Apparel,26-40,Will never buy this again.,Negative
R0073,Electronics,41-60,Perfect in every way!,Positive
R0074,Home Appliances,60+,Horrible experience with this item.,Negative
R0075,Toys,41-60,Amazing product!,Positive
R0076,Books,26-40,"Does the job, but not great.",Neutral
R0077,Books,18-25,Exceeded my expectations!,Positive
R0078,Books,60+,Poor quality and bad design.,Negative
R0079,Electronics,26-40,Exceeded my expectations!,Positive
R0080,Books,60+,"Terrible product, do not buy!",Negative
R0081,Apparel,41-60,Meets expectations but no more.,Neutral
R0082,Books,26-40,Loved it! Will buy again.,Positive
R0083,Apparel,26-40,"Does the job, but not great.",Neutral
R0084,Electronics,18-25,Loved it! Will buy again.,Positive
R0085,Toys,26-40,Highly recommend this.,Positive
R0086,Electronics,18-25,Highly recommend this.,Positive
R0087,Home Appliances,60+,Perfect in every way!,Positive
R0088,Toys,26-40,"It's okay, nothing special.",Neutral
R0089,Electronics,18-25,Meets expectations but no more.,Neutral
R0090,Toys,26-40,"Average quality, acceptable for the price.",Neutral
R0091,Electronics,18-25,Not worth the money.,Negative
R0092,Books,60+,Meets expectations but no more.,Neutral
R0093,Apparel,60+,Superb quality and great value.,Positive
R0094,Toys,60+,"It's okay, nothing special.",Neutral
R0095,Home Appliances,41-60,"It's okay, nothing special.",Neutral
R0096,Toys,60+,Will never buy this again.,Negative
R0097,Electronics,60+,Five stars!,Positive
R0098,Home Appliances,26-40,"Average quality, acceptable for the price.",Neutral
R0099,Books,18-25,Neutral feelings about this.,Neutral
R0100,Home Appliances,60+,Not worth the money.,Negative
R0101,Toys,18-25,Five stars!,Positive
R0102,Books,60+,Not worth the money.,Negative
R0103,Toys,41-60,Not worth the money.,Negative
R0104,Electronics,41-60,Exceeded my expectations!,Positive
R0105,Apparel,60+,Superb quality and great value.,Positive
R0106,Electronics,18-25,"Does the job, but not great.",Neutral
R0107,Toys,60+,Exceeded my expectations!,Positive
R0108,Books,60+,Not worth the money.,Negative
R0109,Home Appliances,41-60,"Average quality, acceptable for the price.",Neutral
R0110,Toys,26-40,"Average quality, acceptable for the price.",Neutral
R0111,Apparel,41-60,"Does the job, but not great.",Neutral
R0112,Electronics,60+,"It's okay, nothing special.",Neutral
R0113,Electronics,18-25,Superb quality and great value.,Positive
R0114,Apparel,60+,Highly recommend this.,Positive
R0115,Home Appliances,41-60,Highly recommend this.,Positive
R0116,Books,26-40,Highly recommend this.,Positive
R0117,Apparel,26-40,Highly recommend this.,Positive
R0118,Toys,18-25,Amazing product!,Positive
R0119,Apparel,41-60,Perfect in every way!,Positive
R0120,Home Appliances,60+,Horrible experience with this item.,Negative
R0121,Books,26-40,"Average quality, acceptable for the price.",Neutral
R0122,Apparel,41-60,Will never buy this again.,Negative
R0123,Apparel,18-25,Meets expectations but no more.,Neutral
R0124,Books,26-40,Poor quality and bad design.,Negative
R0125,Apparel,26-40,"Does the job, but not great.",Neutral
R0126,Apparel,18-25,Neutral feelings about this.,Neutral
R0127,Electronics,18-25,Very disappointing.,Negative
R0128,Electronics,26-40,Amazing product!,Positive
R0129,Books,60+,Horrible experience with this item.,Negative
R0130,Toys,60+,Meets expectations but no more.,Neutral
R0131,Toys,18-25,Perfect in every way!,Positive
R0132,Books,18-25,"It's okay, nothing special.",Neutral
R0133,Books,60+,Will never buy this again.,Negative
R0134,Toys,41-60,Five stars!,Positive
R0135,Home Appliances,60+,Poor quality and bad design.,Negative
R0136,Books,26-40,Five stars!,Positive
R0137,Apparel,26-40,"It's okay, nothing special.",Neutral
R0138,Toys,60+,"Terrible product, do not buy!",Negative
R0139,Books,60+,Very disappointing.,Negative
R0140,Books,18-25,Poor quality and bad design.,Negative
R0141,Apparel,60+,Horrible experience with this item.,Negative
R0142,Books,60+,Neutral feelings about this.,Neutral
R0143,Toys,18-25,Neutral feelings about this.,Neutral
R0144,Toys,18-25,Superb quality and great value.,Positive
R0145,Home Appliances,18-25,Amazing product!,Positive
R0146,Electronics,26-40,Amazing product!,Positive
R0147,Books,60+,Meets expectations but no more.,Neutral
R0148,Toys,26-40,Five stars!,Positive
R0149,Electronics,26-40,Meets expectations but no more.,Neutral
R0150,Toys,41-60,"Terrible product, do not buy!",Negative
R0151,Home Appliances,18-25,"Average quality, acceptable for the price.",Neutral
R0152,Apparel,18-25,Horrible experience with this item.,Negative
R0153,Apparel,18-25,"Average quality, acceptable for the price.",Neutral
R0154,Apparel,18-25,Horrible experience with this item.,Negative
R0155,Apparel,26-40,"Does the job, but not great.",Neutral
R0156,Apparel,60+,Amazing product!,Positive
R0157,Home Appliances,41-60,"Does the job, but not great.",Neutral
R0158,Toys,18-25,Amazing product!,Positive
R0159,Books,41-60,"Does the job, but not great.",Neutral
R0160,Home Appliances,18-25,"Terrible product, do not buy!",Negative
R0161,Apparel,60+,Neutral feelings about this.,Neutral
R0162,Electronics,41-60,Five stars!,Positive
R0163,Home Appliances,18-25,"Average quality, acceptable for the price.",Neutral
R0164,Electronics,26-40,Highly recommend this.,Positive
R0165,Toys,18-25,Superb quality and great value.,Positive
R0166,Home Appliances,60+,Very disappointing.,Negative
R0167,Books,26-40,Loved it! Will buy again.,Positive
R0168,Electronics,60+,Horrible experience with this item.,Negative
R0169,Toys,41-60,Amazing product!,Positive
R0170,Toys,18-25,Very disappointing.,Negative
R0171,Electronics,60+,"Terrible product, do not buy!",Negative
R0172,Books,60+,"It's okay, nothing special.",Neutral
R0173,Home Appliances,41-60,"Terrible product, do not buy!",Negative
R0174,Electronics,26-40,Neutral feelings about this.,Neutral
R0175,Toys,18-25,"Average quality, acceptable for the price.",Neutral
R0176,Electronics,41-60,Meets expectations but no more.,Neutral
R0177,Apparel,60+,Not worth the money.,Negative
R0178,Toys,41-60,Poor quality and bad design.,Negative
R0179,Toys,60+,Perfect in every way!,Positive
R0180,Toys,26-40,Poor quality and bad design.,Negative
R0181,Apparel,41-60,Neutral feelings about this.,Neutral
R0182,Apparel,18-25,Five stars!,Positive
R0183,Toys,41-60,"It's okay, nothing special.",Neutral
R0184,Apparel,60+,Very disappointing.,Negative
R0185,Home Appliances,26-40,Meets expectations but no more.,Neutral
R0186,Toys,41-60,"It's okay, nothing special.",Neutral
R0187,Books,41-60,"Does the job, but not great.",Neutral
R0188,Electronics,41-60,Amazing product!,Positive
R0189,Home Appliances,18-25,Amazing product!,Positive
R0190,Apparel,26-40,Meets expectations but no more.,Neutral
R0191,Apparel,18-25,Will never buy this again.,Negative
R0192,Toys,18-25,Five stars!,Positive
R0193,Books,26-40,"Does the job, but not great.",Neutral
R0194,Apparel,18-25,Exceeded my expectations!,Positive
R0195,Books,18-25,Poor quality and bad design.,Negative
R0196,Electronics,60+,Superb quality and great value.,Positive
R0197,Books,60+,Poor quality and bad design.,Negative
R0198,Home Appliances,60+,"Average quality, acceptable for the price.",Neutral
R0199,Apparel,26-40,Loved it! Will buy again.,Positive
R0200,Toys,18-25,Amazing product!,Positive
R0201,Books,26-40,Exceeded my expectations!,Positive
R0202,Apparel,26-40,Loved it! Will buy again.,Positive
R0203,Toys,18-25,Will never buy this again.,Negative
R0204,Home Appliances,26-40,Horrible experience with this item.,Negative
R0205,Apparel,60+,Not worth the money.,Negative
R0206,Home Appliances,26-40,"Does the job, but not great.",Neutral
R0207,Apparel,18-25,Neutral feelings about this.,Neutral
R0208,Home Appliances,60+,Will never buy this again.,Negative
R0209,Electronics,18-25,Very disappointing.,Negative
R0210,Toys,41-60,Highly recommend this.,Positive
R0211,Toys,60+,Neutral feelings about this.,Neutral
R0212,Electronics,60+,Superb quality and great value.,Positive
R0213,Apparel,60+,Poor quality and bad design.,Negative
R0214,Home Appliances,60+,Horrible experience with this item.,Negative
R0215,Toys,26-40,Horrible experience with this item.,Negative
R0216,Electronics,26-40,"It's okay, nothing special.",Neutral
R0217,Electronics,26-40,"Average quality, acceptable for the price.",Neutral
R0218,Electronics,41-60,Not worth the money.,Negative
R0219,Toys,26-40,Horrible experience with this item.,Negative
R0220,Electronics,26-40,Not worth the money.,Negative
R0221,Home Appliances,18-25,Meets expectations but no more.,Neutral
R0222,Toys,26-40,Highly recommend this.,Positive
R0223,Home Appliances,18-25,"Does the job, but not great.",Neutral
R0224,Toys,41-60,Not worth the money.,Negative
R0225,Electronics,18-25,Horrible experience with this item.,Negative
R0226,Home Appliances,60+,Superb quality and great value.,Positive
R0227,Home Appliances,41-60,Perfect in every way!,Positive
R0228,Electronics,26-40,Neutral feelings about this.,Neutral
R0229,Toys,60+,"Does the job, but not great.",Neutral
R0230,Home Appliances,26-40,Highly recommend this.,Positive
R0231,Books,18-25,Horrible experience with this item.,Negative
R0232,Electronics,26-40,"Does the job, but not great.",Neutral
R0233,Apparel,60+,Loved it! Will buy again.,Positive
R0234,Apparel,60+,Not worth the money.,Negative
R0235,Toys,41-60,Neutral feelings about this.,Neutral
R0236,Home Appliances,18-25,Horrible experience with this item.,Negative
R0237,Toys,18-25,"Terrible product, do not buy!",Negative
R0238,Home Appliances,18-25,Five stars!,Positive
R0239,Electronics,41-60,Meets expectations but no more.,Neutral
R0240,Home Appliances,18-25,"Terrible product, do not buy!",Negative
R0241,Electronics,60+,Not worth the money.,Negative
R0242,Home Appliances,41-60,Meets expectations but no more.,Neutral
R0243,Electronics,26-40,"Does the job, but not great.",Neutral
R0244,Apparel,18-25,Very disappointing.,Negative
R0245,Electronics,60+,Will never buy this again.,Negative
R0246,Apparel,18-25,Highly recommend this.,Positive
R0247,Apparel,60+,Not worth the money.,Negative
R0248,Electronics,18-25,"Does the job, but not great.",Neutral
R0249,Apparel,18-25,Amazing product!,Positive
R0250,Electronics,41-60,Loved it! Will buy again.,Positive
R0251,Books,26-40,"Terrible product, do not buy!",Negative
R0252,Home Appliances,60+,"Average quality, acceptable for the price.",Neutral
R0253,Books,41-60,Will never buy this again.,Negative
R0254,Books,18-25,Poor quality and bad design.,Negative
R0255,Apparel,41-60,"Terrible product, do not buy!",Negative
R0256,Toys,18-25,Amazing product!,Positive
R0257,Electronics,60+,Very disappointing.,Negative
R0258,Books,41-60,"Does the job, but not great.",Neutral
R0259,Electronics,60+,Highly recommend this.,Positive
R0260,Electronics,60+,Will never buy this again.,Negative
R0261,Home Appliances,26-40,Superb quality and great value.,Positive
R0262,Electronics,60+,"Terrible product, do not buy!",Negative
R0263,Books,60+,"Average quality, acceptable for the price.",Neutral
R0264,Apparel,60+,Very disappointing.,Negative
R0265,Home Appliances,18-25,Superb quality and great value.,Positive
R0266,Apparel,41-60,"It's okay, nothing special.",Neutral
R0267,Electronics,18-25,Highly recommend this.,Positive
R0268,Electronics,18-25,Highly recommend this.,Positive
R0269,Electronics,60+,Not worth the money.,Negative
R0270,Apparel,26-40,Superb quality and great value.,Positive
R0271,Books,60+,Perfect in every way!,Positive
R0272,Books,18-25,Amazing product!,Positive
R0273,Apparel,26-40,Will never buy this again.,Negative
R0274,Apparel,18-25,"Terrible product, do not buy!",Negative
R0275,Home Appliances,26-40,Perfect in every way!,Positive
R0276,Toys,26-40,"Does the job, but not great.",Neutral
R0277,Apparel,18-25,Will never buy this again.,Negative
R0278,Toys,60+,Very disappointing.,Negative
R0279,Apparel,41-60,Exceeded my expectations!,Positive
R0280,Books,18-25,Poor quality and bad design.,Negative
R0281,Books,60+,"Terrible product, do not buy!",Negative
R0282,Electronics,60+,Poor quality and bad design.,Negative
R0283,Apparel,26-40,Superb quality and great value.,Positive
R0284,Books,18-25,"Terrible product, do not buy!",Negative
R0285,Books,41-60,Amazing product!,Positive
R0286,Books,18-25,Horrible experience with this item.,Negative
R0287,Electronics,60+,Exceeded my expectations!,Positive
R0288,Home Appliances,26-40,Horrible experience with this item.,Negative
R0289,Apparel,26-40,"Does the job, but not great.",Neutral
R0290,Toys,60+,Poor quality and bad design.,Negative
R0291,Electronics,18-25,Superb quality and great value.,Positive
R0292,Toys,41-60,Will never buy this again.,Negative
R0293,Books,26-40,Exceeded my expectations!,Positive
R0294,Home Appliances,26-40,Not worth the money.,Negative
R0295,Home Appliances,60+,Meets expectations but no more.,Neutral
R0296,Electronics,60+,"Does the job, but not great.",Neutral
R0297,Home Appliances,41-60,Neutral feelings about this.,Neutral
R0298,Toys,26-40,Highly recommend this.,Positive
R0299,Books,26-40,Neutral feelings about this.,Neutral
R0300,Toys,18-25,Poor quality and bad design.,Negative
R0301,Toys,26-40,"Terrible product, do not buy!",Negative
R0302,Toys,60+,Superb quality and great value.,Positive
R0303,Apparel,41-60,Meets expectations but no more.,Neutral
R0304,Apparel,18-25,"It's okay, nothing special.",Neutral
R0305,Electronics,60+,Poor quality and bad design.,Negative
R0306,Apparel,18-25,"Does the job, but not great.",Neutral
R0307,Home Appliances,60+,"Terrible product, do not buy!",Negative
R0308,Books,41-60,Neutral feelings about this.,Neutral
R0309,Electronics,26-40,Horrible experience with this item.,Negative
R0310,Toys,26-40,Meets expectations but no more.,Neutral
R0311,Electronics,60+,Meets expectations but no more.,Neutral
R0312,Electronics,60+,Perfect in every way!,Positive
R0313,Books,60+,Will never buy this again.,Negative
R0314,Apparel,60+,Poor quality and bad design.,Negative
R0315,Books,60+,"Average quality, acceptable for the price.",Neutral
R0316,Apparel,18-25,Not worth the money.,Negative
R0317,Books,60+,Highly recommend this.,Positive
R0318,Books,18-25,Perfect in every way!,Positive
R0319,Books,18-25,Poor quality and bad design.,Negative
R0320,Electronics,26-40,Meets expectations but no more.,Neutral
R0321,Apparel,41-60,Neutral feelings about this.,Neutral
R0322,Books,41-60,"Terrible product, do not buy!",Negative
R0323,Books,26-40,Very disappointing.,Negative
R0324,Books,41-60,Perfect in every way!,Positive
R0325,Electronics,18-25,"Does the job, but not great.",Neutral
R0326,Toys,41-60,Exceeded my expectations!,Positive
R0327,Apparel,18-25,"It's okay, nothing special.",Neutral
R0328,Electronics,18-25,Meets expectations but no more.,Neutral
R0329,Books,26-40,Perfect in every way!,Positive
R0330,Toys,18-25,Superb quality and great value.,Positive
R0331,Toys,41-60,Horrible experience with this item.,Negative
R0332,Electronics,18-25,"Does the job, but not great.",Neutral
